Year;LV
1957;Sputnik 8K71PS
1957;Sputnik 8K71PS
1958;Vanguard
1958;Jupiter C
1958;Vanguard
1958;Jupiter C
1958;Vanguard
1958;Jupiter C
1958;Sputnik 8A91
1958;Vanguard
1958;Sputnik 8A91
1958;Vanguard
1958;Vanguard
1958;NOTS EV1
1958;Jupiter C
1958;NOTS EV1
1958;Thor Able I
1958;NOTS EV1
1958;Jupiter C
1958;NOTS EV1
1958;NOTS EV1
1958;NOTS EV1
1958;Vostok-L 8K72
1958;Vanguard
1958;Thor Able I
1959;Vostok-L 8K72
1958;Jupiter C
1958;Thor Able I
1959;Vostok-L 8K72
1958;Juno II
1958;Atlas B
1959;Vostok-L 8K72
1959;Vanguard
1959;Thor Agena A
1959;Juno II
1959;Thor Agena A
1959;Thor Agena A
1959;Vanguard
1959;Vanguard
1959;Thor Agena A
1959;Thor Agena A
1959;Vostok-L 8K72
1959;Vanguard
1959;Thor Agena A
1959;Thor Agena A
1959;Juno II
1959;Thor Able III
1959;Thor Agena A
1959;Thor Agena A
1959;Juno II
1959;Thor Agena A
1959;Thor Agena A
1959;Vostok-L 8K72
1959;Thor Able II
1959;Vanguard
1959;Vostok-L 8K72
1959;Juno II
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Agena A
1959;Atlas Able
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Agena A
1960;Atlas Agena A
1960;Thor Able IV
1960;Juno II
1960;Thor Able II
1960;Thor Ablestar
1960;Thor Ablestar
1960;Vostok-L 8K72
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Agena A
1960;Vostok-L 8K72
1960;Thor Delta
1960;Vostok 8K72
1960;Atlas Agena A
1960;Thor Ablestar
1960;Thor Ablestar
1960;Thor Agena A
1960;Thor Agena A
1960;Vostok 8K72
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Delta
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Ablestar
1960;Vostok 8K72
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Agena A
1960;Thor Agena A
1960;Atlas Able
1960;Thor Ablestar
1960;Molniya 8K78
1961;Atlas Agena A
1961;Atlas Agena A
1960;Molniya 8K78
1961;Thor Agena B
1961;Thor Agena B
1961;Thor Agena B
1961;Thor Agena B
1960;Juno II
1961;Thor Agena B
1961;Thor Agena B
1961;Thor Agena B
1961;Thor Agena B
1961;Thor Delta
1960;Thor Ablestar
1960;Thor Ablestar
1960;Vostok 8K72
1960;Scout X-1
